species,wav_air,excit_pot,vmic,log_gf,rad,stark,waals,lande,depth
Zr 2,3010.265,0.7097,1.0,-1.2,0.0,0.0,0.0,0.37,0.411
Er 2,3010.307,0.0546,1.0,-1.279,0.0,0.0,0.0,1.26,0.055
Ni 1,3010.4224,1.9354,1.0,-2.226,8.13,-5.11,-7.7,1.51,0.867
Cr 1,3010.4511,2.9674,1.0,-0.902,8.06,-5.85,-7.74,0.55,0.401
Cr 1,3010.5273,3.0922,1.0,-1.783,8.3,-4.55,-7.46,2.1,0.058
Cr 2,3010.6375,6.8027,1.0,-0.063,8.46,-6.46,-7.859,1.33,0.132
Cr 2,3010.6538,4.1561,1.0,-2.579,8.54,-6.49,-7.853,0.43,0.087
Cu 1,3010.8349,1.3889,1.0,-2.627,5.48,-6.27,-7.84,1.33,0.469
Cu 1,3010.835,1.3889,1.0,-2.486,0.0,0.0,0.0,1.33,0.568
Cu 1,3010.835,1.3889,1.0,-2.135,0.0,0.0,0.0,1.33,0.782
Cr 2,3010.8987,6.1792,1.0,-0.553,8.83,-5.69,-7.414,1.54,0.142
Cr 2,3011.1444,4.2972,1.0,-2.632,8.53,-6.46,-7.854,0.34,0.061
Er 2,3011.162,1.6193,1.0,0.318,0.0,0.0,0.0,1.05,0.066
Mn 1,3011.1629,3.135,1.0,-0.84,8.05,-6.17,-7.59,1.07,0.575
Fe 1,3011.2707,3.2657,1.0,-0.948,7.82,-3.65,-7.12,1.06,0.937
Mn 1,3011.3715,3.1353,1.0,-0.37,8.05,-6.17,-7.59,0.94,0.813
Cr 2,3011.4184,3.8267,1.0,-1.486,8.38,-6.49,-7.867,1.85,0.698
Fe 1,3011.4664,2.5592,1.0,-2.213,7.85,-4.57,-7.48,1.17,0.907
Fe 1,3011.481,2.7586,1.0,-0.334,7.8,-6.19,-7.788,0.88,0.976
Fe 1,3011.7277,3.2515,1.0,-2.0,7.59,-4.1,-7.19,1.32,0.826
Zr 1,3011.75,0.0707,1.0,0.03,0.0,0.0,0.0,1.02,0.32
Fe 1,3011.8852,2.4844,1.0,-4.084,8.26,-5.8,-7.73,1.27,0.134
Ni 1,3012.0006,0.4228,1.0,0.0,8.33,-6.11,-7.712,1.01,0.995
Cr 2,3012.0154,4.41,1.0,-2.411,8.41,-6.49,-7.854,1.5,0.077
V 2,3012.0227,2.0498,1.0,-0.795,8.4,-6.5,-7.85,1.56,0.702
Cr 1,3012.0626,3.8904,1.0,-1.077,8.5,-2.78,-6.69,1.37,0.051
Gd 2,3012.192,0.6002,1.0,-0.529,0.0,0.0,0.0,2.08,0.07
Cr 2,3012.3276,4.0116,1.0,-2.325,8.28,-6.58,-7.799,1.03,0.184
Cr 1,3012.4249,3.1128,1.0,-1.557,8.33,-4.62,-7.46,2.08,0.087
